Car Make,Model,Mileage,Configuration,Year of Make,Primary Damage,Secondary Damage,Website Post Date,Sell Date,Estimated Price (USD),Options,Engine Type,Horsepower
Toyota,Camry,62760,Automatic,2012,,,2024-03-10 16:34:10.658273,2024-04-02 16:34:10.658273,10000.0,Advanced,3.5L V6,301
Audi,Q7,183923,Automatic,2019,,,2024-07-04 16:34:10.658295,2024-08-01 16:34:10.658295,22120.739999999998,Full,2.0L I4 Turbo,248
Toyota,Corolla,64101,Automatic,1996,,,2022-12-28 16:34:10.658318,2023-01-19 16:34:10.658318,10000.0,Full,2.0L I4,169
Mercedes-Benz,C-Class,7409,Automatic,2007,,,2023-11-23 16:34:10.658341,,10000.0,Full,2.0L I4 Turbo,255
Toyota,Highlander,31115,Automatic,2020,,,2023-04-17 16:34:10.658363,2023-05-28 16:34:10.658363,25091.36,Full,3.5L V6,295
Mercedes-Benz,GLC,44480,Automatic,2021,,,2024-01-28 16:34:10.658386,,51228.84,Luxe,2.0L I4 Turbo,255
Mercedes-Benz,E-Class,149363,Automatic,2001,,,2022-10-19 16:34:10.658406,,10000.0,Full,2.0L I4 Turbo,255
Audi,Q7,183889,Automatic,2022,Front,Rear,2023-03-30 16:34:10.658430,2023-04-27 16:34:10.658430,69833.52,Full,2.0L I4 Turbo,248
Mercedes-Benz,E-Class,133761,Automatic,1997,,,2022-08-09 16:34:10.658453,,10000.0,Base,2.0L I4 Turbo,255
Toyota,Corolla,97309,Automatic,1989,,,2023-05-17 16:34:10.658472,,10000.0,Luxe,1.8L I4,139
Audi,A4,34115,Automatic,1994,Rear,,2022-02-18 16:34:10.658495,2022-03-16 16:34:10.658495,15000.0,Base,2.0L I4 Turbo,261
Mercedes-Benz,C-Class,134878,Automatic,2021,Front,,2023-12-10 16:34:10.658522,2024-01-03 16:34:10.658522,28666.52,Full,2.0L I4 Turbo,255
Audi,Q5,151928,Automatic,2015,,,2024-02-24 16:34:10.658542,2024-04-01 16:34:10.658542,15000.0,Advanced,2.0L I4 Turbo,261
Toyota,Corolla,119715,Automatic,1985,,,2023-04-08 16:34:10.658562,2023-06-04 16:34:10.658562,10000.0,Base,1.8L I4,139
Toyota,Corolla,131814,Automatic,2012,,,2022-07-01 16:34:10.658581,,10000.0,Luxe,2.0L I4,169
Toyota,Camry,19450,Automatic,2015,,,2023-04-23 16:34:10.658599,2023-05-28 16:34:10.658599,10000.0,Full,3.5L V6,301
Mercedes-Benz,E-Class,22778,Automatic,2023,Rear,,2022-05-09 16:34:10.658619,2022-05-14 16:34:10.658619,63757.78,Advanced,3.0L I6 Turbo,362
Mercedes-Benz,GLC,26091,Automatic,2016,,,2023-10-07 16:34:10.658642,2023-11-14 16:34:10.658642,11873.84,Luxe,2.0L I4 Turbo,255
Audi,A4,43924,Automatic,2017,,,2023-03-29 16:34:10.658666,2023-04-19 16:34:10.658666,15000.0,Full,2.0L I4 Turbo,261
Audi,A4,132729,Automatic,2016,Rear,,2024-09-03 16:34:10.658687,2024-09-27 16:34:10.658687,15000.0,Base,2.0L I4 Turbo,261
Audi,Q5,12916,Automatic,2021,Rear,,2024-04-05 16:34:10.658708,2024-05-05 16:34:10.658708,68713.56,Luxe,2.0L I4 Turbo,261
Mercedes-Benz,C-Class,131867,Automatic,2023,,,2024-05-26 16:34:10.658731,,65493.24,Luxe,2.0L I4 Turbo,255
Toyota,RAV4,46034,Automatic,2001,Rear,,2022-09-12 16:34:10.658750,2022-09-18 16:34:10.658750,10000.0,Luxe,2.5L I4,203
Audi,A4,30568,Automatic,2010,,,2023-03-02 16:34:10.658770,,15000.0,Advanced,2.0L I4 Turbo,261
Toyota,Corolla,182299,Automatic,1989,,,2024-06-18 16:34:10.658789,2024-07-24 16:34:10.658789,10000.0,Luxe,2.0L I4,169
Mercedes-Benz,C-Class,108163,Automatic,2008,Front,Rear,2024-10-12 16:34:10.658815,2024-10-21 16:34:10.658815,10000.0,Base,2.0L I4 Turbo,255
Audi,A4,5086,Automatic,1996,Front,,2022-03-15 16:34:10.658835,,15000.0,Full,2.0L I4 Turbo,261
Toyota,Highlander,139742,Automatic,2003,Front,,2024-04-28 16:34:10.658853,,10000.0,Advanced,2.5L I4 Hybrid,243
Toyota,RAV4,34870,Automatic,2012,,,2023-07-29 16:34:10.658873,,10000.0,Advanced,2.5L I4,203
Toyota,Highlander,36757,Automatic,2000,,,2024-01-21 16:34:10.658892,2024-03-21 16:34:10.658892,10000.0,Luxe,2.5L I4 Hybrid,243
Mercedes-Benz,E-Class,15421,Automatic,1993,,,2022-06-17 16:34:10.658912,2022-07-23 16:34:10.658912,11539.94,Full,3.0L I6 Turbo,362
Audi,A4,35814,Automatic,1996,,,2024-08-04 16:34:10.658934,,15000.0,Advanced,2.0L I4 Turbo,261
Audi,A8,33724,Automatic,2021,,,2022-05-06 16:34:10.658952,2022-06-18 16:34:10.658952,129030.90000000001,Advanced,3.0L V6 Turbo,335
Toyota,Tacoma,19267,Automatic,2008,,,2024-07-28 16:34:10.658974,,10000.0,Advanced,2.7L I4,159
Audi,Q7,119185,Automatic,2016,Roof,,2022-02-17 16:34:10.658993,2022-04-17 16:34:10.658993,15000.0,Full,2.0L I4 Turbo,248
Mercedes-Benz,GLC,61525,Automatic,2022,,,2023-07-13 16:34:10.659014,,55845.68,Advanced,2.0L I4 Turbo,255
Toyota,RAV4,8335,Automatic,2018,,,2023-04-30 16:34:10.659033,,10000.0,Advanced,2.5L I4,203
Audi,Q5,50206,Automatic,2010,,,2023-12-29 16:34:10.659051,2024-01-03 16:34:10.659051,15000.0,Base,2.0L I4 Turbo,261
Mercedes-Benz,GLA,175321,Automatic,2014,,,2024-09-08 16:34:10.659095,,10000.0,Full,2.0L I4 Turbo,221
Audi,Q7,140272,Automatic,2016,Side,,2024-08-02 16:34:10.659119,2024-08-15 16:34:10.659119,15000.0,Full,2.0L I4 Turbo,248
Toyota,Highlander,191301,Automatic,2002,,,2024-05-24 16:34:10.659142,,10000.0,Full,3.5L V6,295
Audi,A6,106547,Automatic,2022,,,2022-03-29 16:34:10.659161,,75651.20999999999,Base,2.0L I4 Turbo,248
Audi,A6,86128,Automatic,2005,,,2022-11-27 16:34:10.659182,,18115.89,Luxe,2.0L I4 Turbo,248
Toyota,Camry,66860,Automatic,1999,,,2023-05-13 16:34:10.659201,2023-07-09 16:34:10.659201,10000.0,Base,2.5L I4,203
Toyota,Camry,162169,Automatic,2011,Roof,,2024-04-04 16:34:10.659227,,10000.0,Luxe,2.5L I4,203
Audi,Q7,34456,Automatic,2006,Rear,,2023-08-04 16:34:10.659249,,17178.84,Full,3.0L V6 Turbo,335
Mercedes-Benz,E-Class,5646,Manual,1997,Side,,2024-05-07 16:34:10.659267,,10000.0,Full,2.0L I4 Turbo,255
Audi,A4,97105,Automatic,2002,,,2023-05-23 16:34:10.659286,2023-06-03 16:34:10.659286,15000.0,Base,2.0L I4 Turbo,261
Audi,A4,52098,Automatic,2018,,,2023-06-06 16:34:10.659306,2023-07-24 16:34:10.659306,15000.0,Advanced,2.0L I4 Turbo,261
Toyota,Highlander,94595,Automatic,2018,,,2023-09-19 16:34:10.659326,2023-09-28 16:34:10.659326,10000.0,Luxe,2.5L I4 Hybrid,243
Mercedes-Benz,GLC,161222,Automatic,2017,,,2023-10-07 16:34:10.659347,2023-10-08 16:34:10.659347,10000.0,Full,2.0L I4 Turbo,255
Audi,Q7,161768,Automatic,2006,,,2023-03-09 16:34:10.659368,,15000.0,Advanced,3.0L V6 Turbo,335
Toyota,Camry,197597,Automatic,2001,,,2023-01-18 16:34:10.659385,2023-02-09 16:34:10.659385,10000.0,Advanced,2.5L I4,203
Mercedes-Benz,GLA,56508,Automatic,2016,Rear,,2024-03-30 16:34:10.659408,,10000.0,Luxe,2.0L I4 Turbo,221
Mercedes-Benz,E-Class,172373,Automatic,2008,Rear,,2022-06-08 16:34:10.659426,,10000.0,Advanced,2.0L I4 Turbo,255
Audi,Q7,43882,Automatic,2007,Side,,2022-06-19 16:34:10.659445,,16785.06,Full,2.0L I4 Turbo,248
Audi,Q5,8649,Automatic,2010,Front,,2022-02-22 16:34:10.659466,,15000.0,Advanced,3.0L V6,349
Mercedes-Benz,C-Class,92871,Automatic,2015,,,2023-03-11 16:34:10.659484,,10000.0,Base,2.0L I4 Turbo,255
Mercedes-Benz,GLA,128534,Automatic,2016,Front,Front,2024-03-23 16:34:10.659508,,10000.0,Luxe,2.0L I4 Turbo,221
Audi,Q5,190329,Automatic,2018,,,2023-07-03 16:34:10.659527,2023-08-31 16:34:10.659527,15000.0,Base,3.0L V6,349
Toyota,Camry,62649,Automatic,1994,,,2022-12-03 16:34:10.659548,2023-01-17 16:34:10.659548,10000.0,Full,2.5L I4,203
Mercedes-Benz,C-Class,131412,Manual,1994,,,2024-11-01 16:34:10.659568,2024-12-04 16:34:10.659568,10000.0,Base,2.0L I4 Turbo,255
Audi,Q5,27710,Automatic,2012,Side,Rear,2024-02-03 16:34:10.659592,,15000.0,Base,3.0L V6,349
Audi,A4,127647,Manual,2017,,,2024-07-29 16:34:10.659610,,15000.0,Advanced,2.0L I4 Turbo,261
Audi,A6,93872,Automatic,2020,Side,,2023-06-23 16:34:10.659629,2023-06-26 16:34:10.659629,33816.149999999994,Base,3.0L V6 Turbo,335
Toyota,Tacoma,187006,Automatic,2022,Roof,,2023-02-06 16:34:10.659656,2023-04-02 16:34:10.659656,29012.6,Luxe,2.7L I4,159
Mercedes-Benz,GLA,108044,Automatic,2018,Rear,Front,2024-06-15 16:34:10.659681,,10000.0,Base,2.0L I4 Turbo,221
Audi,A8,145093,Automatic,2004,Rear,,2023-10-12 16:34:10.659700,2023-10-30 16:34:10.659700,19770.9,Full,3.0L V6 Turbo,335
Mercedes-Benz,C-Class,175913,Automatic,2001,Roof,,2024-10-09 16:34:10.659728,,10000.0,Luxe,2.0L I4 Turbo,255
Audi,A8,172014,Automatic,2017,,,2023-09-11 16:34:10.659745,2023-11-08 16:34:10.659745,19251.81,Advanced,3.0L V6 Turbo,335
Mercedes-Benz,C-Class,26283,Manual,1993,Front,,2022-06-06 16:34:10.659767,2022-07-29 16:34:10.659767,10000.0,Base,2.0L I4 Turbo,255
Toyota,Highlander,193183,Automatic,2007,Side,,2022-07-09 16:34:10.659789,,10000.0,Luxe,3.5L V6,295
Audi,A6,154420,Automatic,1997,,,2022-08-29 16:34:10.659807,,15000.0,Full,2.0L I4 Turbo,248
Toyota,RAV4,144816,Automatic,1996,,,2024-08-24 16:34:10.659824,2024-08-26 16:34:10.659824,10000.0,Advanced,2.5L I4,203
Audi,A4,22461,Automatic,2022,,,2024-08-17 16:34:10.659845,,87048.69,Full,2.0L I4 Turbo,261
Audi,Q7,154351,Automatic,2022,,,2022-07-21 16:34:10.659864,,72293.37,Base,3.0L V6 Turbo,335
Audi,A4,5266,Automatic,2014,,,2022-02-16 16:34:10.659884,,15000.0,Advanced,2.0L I4 Turbo,261
Audi,A6,152418,Automatic,1999,,,2024-10-28 16:34:10.659902,,15000.0,Luxe,2.0L I4 Turbo,248
Audi,A6,35972,Manual,1997,,,2024-01-30 16:34:10.659921,,21028.62,Luxe,2.0L I4 Turbo,248
Mercedes-Benz,E-Class,161318,Manual,2005,Rear,,2024-07-14 16:34:10.659941,2024-07-16 16:34:10.659941,10000.0,Luxe,2.0L I4 Turbo,255
Mercedes-Benz,C-Class,144499,Automatic,2020,,,2022-10-13 16:34:10.659962,,24019.78,Full,2.0L I4 Turbo,255
Toyota,RAV4,81013,Automatic,2011,,,2022-12-29 16:34:10.659981,,10000.0,Base,2.5L I4,203
Mercedes-Benz,GLA,95344,Automatic,2015,,,2022-05-14 16:34:10.660000,2022-05-24 16:34:10.660000,10000.0,Full,2.0L I4 Turbo,221
Mercedes-Benz,C-Class,17599,Automatic,2015,,,2023-06-27 16:34:10.660020,,10063.34,Full,2.0L I4 Turbo,255
Mercedes-Benz,S-Class,37449,Automatic,2019,Roof,,2022-12-23 16:34:10.660038,,23780.5,Luxe,4.0L V8,496
Audi,Q5,118328,Automatic,2011,Side,,2024-05-20 16:34:10.660058,2024-06-15 16:34:10.660058,15000.0,Luxe,2.0L I4 Turbo,261
Toyota,Corolla,64640,Automatic,1970,Side,,2022-09-26 16:34:10.660079,,10000.0,Base,1.8L I4,139
Toyota,Camry,153371,Automatic,1985,,,2022-06-19 16:34:10.660096,2022-08-13 16:34:10.660096,10000.0,Advanced,2.5L I4,203
Audi,A6,106894,Automatic,2003,,,2023-03-15 16:34:10.660117,2023-03-24 16:34:10.660117,15000.0,Base,3.0L V6 Turbo,335
Audi,A8,171667,Automatic,2005,Side,,2024-01-07 16:34:10.660139,,15759.84,Advanced,4.0L V8,563
Mercedes-Benz,S-Class,156908,Automatic,2022,,,2022-08-06 16:34:10.660159,,67237.2,Advanced,4.0L V8,496
Toyota,Camry,190511,Manual,2005,,,2024-04-12 16:34:10.660180,2024-04-22 16:34:10.660180,10000.0,Advanced,2.5L I4,203
Audi,A8,65854,Automatic,2012,,,2023-04-25 16:34:10.660201,,23294.28,Base,3.0L V6 Turbo,335
Toyota,RAV4,134839,Automatic,2009,,,2024-09-28 16:34:10.660221,,10000.0,Base,2.5L I4,203
Audi,A8,59746,Automatic,2005,,,2022-11-29 16:34:10.660240,2023-01-15 16:34:10.660240,29367.239999999998,Luxe,4.0L V8,563
Toyota,Highlander,111436,Automatic,2009,Roof,,2022-03-04 16:34:10.660261,,10000.0,Luxe,2.5L I4 Hybrid,243
Toyota,Tacoma,37855,Automatic,2017,Rear,,2022-09-16 16:34:10.660280,,10000.0,Base,3.5L V6,278
Toyota,Camry,23830,Manual,2008,,,2024-01-15 16:34:10.660299,,10000.0,Base,2.5L I4,203
Mercedes-Benz,GLA,122287,Automatic,2020,,,2023-05-30 16:34:10.660317,2023-07-27 16:34:10.660317,21202.64,Full,2.0L I4 Turbo,221
Mercedes-Benz,C-Class,147488,Manual,2000,,,2022-03-22 16:34:10.660339,2022-04-15 16:34:10.660339,10000.0,Luxe,2.0L I4 Turbo,255
Audi,A8,182308,Automatic,1999,,,2022-05-11 16:34:10.660360,,20724.15,Full,3.0L V6 Turbo,335
Mercedes-Benz,GLC,18301,Automatic,2023,,,2023-05-25 16:34:10.660380,2023-07-11 16:34:10.660380,64838.98,Base,2.0L I4 Turbo,255
Toyota,Highlander,95835,Automatic,2022,Roof,,2022-09-08 16:34:10.660406,,34753.44,Advanced,3.5L V6,295
Mercedes-Benz,C-Class,59252,Automatic,2008,Rear,,2023-04-11 16:34:10.660426,,10000.0,Base,2.0L I4 Turbo,255
Mercedes-Benz,S-Class,39261,Automatic,1999,,,2024-08-29 16:34:10.660447,2024-08-30 16:34:10.660447,16521.62,Advanced,4.0L V8,496
Toyota,RAV4,12017,Automatic,1997,,,2024-04-23 16:34:10.660469,2024-06-15 16:34:10.660469,10000.0,Base,2.5L I4,203
Mercedes-Benz,GLC,59220,Automatic,2021,Front,Rear,2023-01-12 16:34:10.660495,,36972.22,Luxe,2.0L I4 Turbo,255
Audi,A4,140901,Automatic,2018,Roof,,2022-05-09 16:34:10.660518,2022-05-22 16:34:10.660518,15000.0,Base,2.0L I4 Turbo,261
Mercedes-Benz,E-Class,107355,Automatic,2000,Front,,2022-09-21 16:34:10.660540,2022-11-09 16:34:10.660540,10000.0,Luxe,2.0L I4 Turbo,255
Mercedes-Benz,E-Class,89328,Automatic,2004,Front,,2024-02-10 16:34:10.660562,2024-03-17 16:34:10.660562,10000.0,Full,3.0L I6 Turbo,362
Mercedes-Benz,C-Class,125550,Automatic,2023,,,2022-09-28 16:34:10.660584,,50876.14,Advanced,2.0L I4 Turbo,255
Mercedes-Benz,GLC,154241,Automatic,2022,,,2024-09-21 16:34:10.660603,2024-11-04 16:34:10.660603,39687.96,Advanced,2.0L I4 Turbo,255
Audi,A8,111915,Automatic,1995,Side,,2023-04-09 16:34:10.660625,,17404.53,Advanced,4.0L V8,563
Mercedes-Benz,E-Class,161763,Manual,1996,Roof,,2022-03-17 16:34:10.660645,2022-04-27 16:34:10.660645,10000.0,Luxe,2.0L I4 Turbo,255
Toyota,Camry,70771,Automatic,2015,,,2024-07-12 16:34:10.660665,,10000.0,Full,3.5L V6,301
Mercedes-Benz,GLC,5933,Manual,2022,,,2022-07-10 16:34:10.660683,2022-07-28 16:34:10.660683,69887.76,Luxe,2.0L I4 Turbo,255
Mercedes-Benz,E-Class,162484,Automatic,2022,Side,,2022-12-10 16:34:10.660705,,33625.52,Base,3.0L I6 Turbo,362
Audi,Q7,92854,Automatic,2010,,,2024-01-12 16:34:10.660725,2024-01-18 16:34:10.660725,20253.0,Luxe,2.0L I4 Turbo,248
Toyota,Tacoma,150237,Automatic,2023,Roof,,2022-04-18 16:34:10.660746,2022-06-12 16:34:10.660746,31627.84,Advanced,3.5L V6,278
Toyota,Camry,46849,Automatic,1994,,,2024-04-11 16:34:10.660768,,10000.0,Luxe,3.5L V6,301
Mercedes-Benz,S-Class,149716,Automatic,1978,,,2024-10-13 16:34:10.660786,,12229.74,Base,4.0L V8,496
Toyota,Tacoma,121142,Automatic,2018,,,2024-09-02 16:34:10.660805,2024-10-18 16:34:10.660805,10000.0,Base,2.7L I4,159
Mercedes-Benz,GLA,87123,Automatic,2021,,,2023-07-26 16:34:10.660828,2023-08-21 16:34:10.660828,37080.52,Luxe,2.0L I4 Turbo,221
Mercedes-Benz,GLA,45181,Automatic,2016,,,2024-08-07 16:34:10.660851,2024-08-15 16:34:10.660851,10000.0,Advanced,2.0L I4 Turbo,221
Toyota,Camry,150732,Automatic,1989,,,2024-09-06 16:34:10.660872,2024-11-04 16:34:10.660872,10000.0,Luxe,3.5L V6,301
Toyota,Tacoma,5092,Automatic,2016,,,2022-04-19 16:34:10.660893,,10000.0,Advanced,3.5L V6,278
Toyota,Corolla,81517,Manual,1976,,,2022-08-13 16:34:10.660911,,10000.0,Full,1.8L I4,139
Audi,A4,23885,Automatic,2022,,,2024-02-12 16:34:10.660928,,82753.56,Advanced,2.0L I4 Turbo,261
Toyota,Tacoma,86259,Automatic,2015,,,2022-03-09 16:34:10.660948,2022-04-21 16:34:10.660948,10000.0,Advanced,2.7L I4,159
Mercedes-Benz,S-Class,35586,Automatic,1984,,,2024-04-22 16:34:10.660969,,16684.1,Advanced,3.0L I6 Turbo,429
Mercedes-Benz,GLA,121440,Automatic,2023,,,2024-11-07 16:34:10.660988,2024-11-15 16:34:10.660988,51304.04,Full,2.0L I4 Turbo,221
Audi,A6,180485,Manual,2018,,,2024-04-12 16:34:10.661009,2024-05-01 16:34:10.661009,15000.0,Advanced,2.0L I4 Turbo,248
Toyota,Camry,190287,Automatic,1993,,,2022-04-04 16:34:10.661031,2022-05-30 16:34:10.661031,10000.0,Full,3.5L V6,301
Mercedes-Benz,GLC,105064,Automatic,2023,Rear,,2024-08-17 16:34:10.661052,,51681.04,Full,2.0L I4 Turbo,255
Toyota,Corolla,101357,Automatic,1977,,,2023-08-25 16:34:10.661071,,10000.0,Base,1.8L I4,139
Mercedes-Benz,E-Class,82768,Automatic,2001,Roof,,2022-04-08 16:34:10.661090,,10000.0,Advanced,3.0L I6 Turbo,362
Toyota,Camry,111855,Manual,2013,,,2022-08-12 16:34:10.661109,,10000.0,Advanced,3.5L V6,301
Audi,Q7,124143,Automatic,2012,Rear,,2023-09-10 16:34:10.661127,,15000.0,Full,2.0L I4 Turbo,248
Mercedes-Benz,E-Class,131289,Automatic,2021,,,2022-12-08 16:34:10.661147,2023-01-16 16:34:10.661147,44551.28,Full,3.0L I6 Turbo,362
Audi,A4,20022,Automatic,2004,,,2022-06-27 16:34:10.661168,2022-07-20 16:34:10.661168,15000.0,Base,2.0L I4 Turbo,261
Audi,A4,144125,Automatic,2005,,,2023-08-03 16:34:10.661199,,15000.0,Full,2.0L I4 Turbo,261
Toyota,RAV4,101654,Automatic,2013,,,2023-09-08 16:34:10.661216,,10000.0,Luxe,2.5L I4,203
Mercedes-Benz,E-Class,65511,Automatic,2017,,,2024-03-23 16:34:10.661235,2024-03-25 16:34:10.661235,10000.0,Advanced,2.0L I4 Turbo,255
Audi,Q5,169224,Automatic,2021,,,2023-02-19 16:34:10.661256,2023-03-26 16:34:10.661256,43858.350000000006,Base,2.0L I4 Turbo,261
Audi,A6,186260,Automatic,2017,Side,,2023-11-08 16:34:10.661279,2024-01-03 16:34:10.661279,15000.0,Advanced,3.0L V6 Turbo,335
Mercedes-Benz,S-Class,21882,Automatic,1972,,,2024-07-09 16:34:10.661302,,16144.4,Advanced,4.0L V8,496
Toyota,Tacoma,93746,Automatic,2007,,,2022-11-20 16:34:10.661322,,10000.0,Advanced,3.5L V6,278
Mercedes-Benz,GLC,73109,Automatic,2021,Front,,2023-09-19 16:34:10.661341,,34473.14,Full,2.0L I4 Turbo,255
Toyota,Corolla,21094,Automatic,2005,,,2023-12-12 16:34:10.661361,,10000.0,Base,1.8L I4,139
Toyota,RAV4,8625,Automatic,1998,,,2024-03-07 16:34:10.661379,2024-03-29 16:34:10.661379,10000.0,Advanced,2.5L I4,203
Audi,Q7,182373,Automatic,2015,,,2024-09-09 16:34:10.661400,,15000.0,Base,2.0L I4 Turbo,248
Audi,A6,34272,Automatic,2012,,,2024-04-15 16:34:10.661418,,19945.47,Luxe,2.0L I4 Turbo,248
Toyota,RAV4,110683,Automatic,2000,,,2024-02-27 16:34:10.661544,,10000.0,Luxe,2.5L I4,203
Audi,Q7,181950,Automatic,2007,Front,,2023-10-21 16:34:10.661563,,15000.0,Full,3.0L V6 Turbo,335
Toyota,Highlander,143897,Automatic,2002,,,2022-04-24 16:34:10.661581,2022-05-11 16:34:10.661581,10000.0,Luxe,3.5L V6,295
Toyota,Highlander,171964,Automatic,2003,Front,,2022-08-01 16:34:10.661604,,10000.0,Base,2.5L I4 Hybrid,243
Toyota,Corolla,98594,Automatic,2007,Rear,,2023-05-27 16:34:10.661622,2023-07-21 16:34:10.661622,10000.0,Advanced,2.0L I4,169
Toyota,Camry,144569,Automatic,2016,,,2024-03-07 16:34:10.661643,,10000.0,Base,2.5L I4,203
Toyota,Camry,51863,Automatic,1983,,,2022-10-24 16:34:10.661662,2022-12-19 16:34:10.661662,10000.0,Advanced,2.5L I4,203
Audi,A8,173779,Automatic,1998,,,2024-05-08 16:34:10.661682,2024-06-19 16:34:10.661682,18845.52,Advanced,3.0L V6 Turbo,335
Mercedes-Benz,S-Class,148268,Automatic,1973,Rear,,2023-11-19 16:34:10.661704,,10039.4,Advanced,3.0L I6 Turbo,429
Audi,Q5,45270,Automatic,2014,,,2024-09-14 16:34:10.661724,2024-10-21 16:34:10.661724,15992.46,Advanced,2.0L I4 Turbo,261
Mercedes-Benz,C-Class,20048,Automatic,2015,Rear,,2023-08-27 16:34:10.661744,,10000.0,Luxe,2.0L I4 Turbo,255
Toyota,Camry,161246,Automatic,1995,,,2023-01-10 16:34:10.661762,2023-02-02 16:34:10.661762,10000.0,Advanced,3.5L V6,301
Mercedes-Benz,C-Class,87702,Automatic,2013,,,2022-10-07 16:34:10.661783,2022-10-21 16:34:10.661783,10000.0,Luxe,2.0L I4 Turbo,255
Mercedes-Benz,GLC,99087,Automatic,2019,,,2022-10-20 16:34:10.661803,2022-11-22 16:34:10.661803,16519.0,Luxe,2.0L I4 Turbo,255
Toyota,Camry,161129,Automatic,2017,Rear,,2022-04-21 16:34:10.661824,2022-06-05 16:34:10.661824,10000.0,Luxe,2.5L I4,203
Audi,A4,15585,Automatic,2014,,,2023-06-05 16:34:10.661845,2023-07-21 16:34:10.661845,15199.560000000001,Luxe,2.0L I4 Turbo,261
Toyota,Tacoma,116955,Automatic,2005,,,2022-12-30 16:34:10.661867,2023-02-08 16:34:10.661867,10000.0,Luxe,3.5L V6,278
Toyota,Highlander,21378,Automatic,2018,,,2024-08-15 16:34:10.661886,2024-08-22 16:34:10.661886,10000.0,Advanced,2.5L I4 Hybrid,243
Mercedes-Benz,S-Class,21341,Automatic,2006,,,2023-09-19 16:34:10.661906,2023-10-13 16:34:10.661906,19150.68,Luxe,3.0L I6 Turbo,429
Audi,Q7,122063,Automatic,2005,,,2023-06-30 16:34:10.661928,2023-08-20 16:34:10.661928,18726.9,Luxe,2.0L I4 Turbo,248
Toyota,RAV4,142666,Automatic,2014,,,2022-12-23 16:34:10.661950,2023-02-02 16:34:10.661950,10000.0,Full,2.5L I4,203
Mercedes-Benz,S-Class,72828,Automatic,1999,,,2024-09-29 16:34:10.661970,2024-10-02 16:34:10.661970,15092.84,Advanced,4.0L V8,496
Audi,Q7,58628,Automatic,2019,,,2023-09-02 16:34:10.661992,,28095.93,Full,3.0L V6 Turbo,335
Audi,A6,142732,Automatic,2013,,,2022-09-01 16:34:10.662012,,16395.54,Luxe,2.0L I4 Turbo,248
Toyota,Corolla,195653,Automatic,2003,,,2023-03-29 16:34:10.662031,2023-05-14 16:34:10.662031,10000.0,Full,1.8L I4,139
Mercedes-Benz,E-Class,150607,Automatic,1993,,,2023-11-27 16:34:10.662052,,10000.0,Luxe,2.0L I4 Turbo,255
Audi,A4,25904,Automatic,2009,Side,,2022-10-20 16:34:10.662070,,15000.0,Luxe,2.0L I4 Turbo,261
Audi,A4,91036,Automatic,2020,Roof,,2023-09-24 16:34:10.662091,2023-11-15 16:34:10.662091,36227.82,Luxe,2.0L I4 Turbo,261
Toyota,RAV4,190074,Automatic,2009,Front,,2022-09-05 16:34:10.662116,,10000.0,Base,2.5L I4,203
Audi,A8,72994,Automatic,2007,,,2023-09-23 16:34:10.662128,,22958.94,Base,4.0L V8,563
Audi,A8,31461,Automatic,1999,,,2022-11-25 16:34:10.662140,,27181.77,Advanced,3.0L V6 Turbo,335
Toyota,Tacoma,118080,Automatic,2017,,,2023-11-07 16:34:10.662151,,10000.0,Full,2.7L I4,159
Toyota,RAV4,184613,Automatic,2014,,,2023-11-26 16:34:10.662161,,10000.0,Advanced,2.5L I4,203
Mercedes-Benz,GLC,18956,Automatic,2022,,,2024-09-13 16:34:10.662172,,68454.84,Luxe,2.0L I4 Turbo,255
Mercedes-Benz,E-Class,132667,Automatic,2000,,,2023-10-29 16:34:10.662184,,10000.0,Base,2.0L I4 Turbo,255
Audi,A6,7630,Automatic,2008,,,2023-05-31 16:34:10.662196,2023-06-05 16:34:10.662196,17789.760000000002,Advanced,2.0L I4 Turbo,248
Audi,Q7,175463,Automatic,2009,,,2023-09-05 16:34:10.662209,,15000.0,Advanced,3.0L V6 Turbo,335
Toyota,Highlander,66650,Automatic,2019,,,2022-02-27 16:34:10.662220,2022-04-28 16:34:10.662220,12817.64,Luxe,3.5L V6,295
Mercedes-Benz,GLC,167938,Automatic,2020,,,2024-08-24 16:34:10.662234,2024-09-09 16:34:10.662234,23055.04,Full,2.0L I4 Turbo,255
Mercedes-Benz,C-Class,142179,Automatic,2020,,,2023-01-27 16:34:10.662247,,23667.96,Full,2.0L I4 Turbo,255
Mercedes-Benz,GLA,6415,Automatic,2015,Side,,2022-11-23 16:34:10.662259,,10000.0,Base,2.0L I4 Turbo,221
Audi,Q5,136844,Automatic,2022,,,2024-07-02 16:34:10.662271,2024-08-29 16:34:10.662271,85487.54999999999,Luxe,2.0L I4 Turbo,261
Toyota,RAV4,92070,Automatic,2021,,,2022-03-20 16:34:10.662284,2022-04-09 16:34:10.662284,25123.12,Advanced,2.5L I4,203
Audi,Q7,167791,Automatic,2007,,,2022-11-05 16:34:10.662297,2022-12-11 16:34:10.662297,15000.0,Full,2.0L I4 Turbo,248
Mercedes-Benz,GLA,109605,Automatic,2021,,,2024-05-24 16:34:10.662310,,31304.46,Full,2.0L I4 Turbo,221
Mercedes-Benz,C-Class,167080,Automatic,2008,,,2023-05-12 16:34:10.662321,,10000.0,Base,2.0L I4 Turbo,255
